name,artist,popularity,release_date,genre
MOJABI GHOST,Tainy,83,2023-06-29,reggaeton
Moscow Mule,Bad Bunny,84,2022-05-06,reggaeton
Gata Only,FloyyMenor,89,2024-02-02,reggaeton
Candy,Plan B,76,2013-09-14,reggaeton
PERRO NEGRO,Bad Bunny,85,2023-10-13,reggaeton
Otro Atardecer,Bad Bunny,82,2022-05-06,reggaeton
No Me Conoce - Remix,JHAYCO,84,2019-05-24,reggaeton
Efecto,Bad Bunny,82,2022-05-06,reggaeton
Todo De Ti,Rauw Alejandro,82,2021-12-10,reggaeton
Hawái,Maluma,83,2020-08-21,reggaeton
TQG,KAROL G,83,2023-02-24,reggaeton
AMARGURA,KAROL G,84,2023-02-24,reggaeton
Si No Le Contesto,Plan B,79,2010-07-20,reggaeton
QLONA,KAROL G,83,2023-08-10,reggaeton
El Perdedor,Maluma,83,2015-10-30,reggaeton
La Old Skul,Rauw Alejandro,82,2021-12-10,reggaeton
LOKERA,Rauw Alejandro,83,2023-01-24,reggaeton
Yo Quisiera,Reik,79,2005-03-02,reggaeton
Me Porto Bonito,Bad Bunny,83,2022-05-06,reggaeton
La Santa,Bad Bunny,81,2020-02-29,reggaeton
PROVENZA,KAROL G,83,2023-02-24,reggaeton
MI EX TENÍA RAZÓN,KAROL G,82,2023-08-10,reggaeton
Perdóname,La Factoria,81,2006-12-04,reggaeton
Tití Me Preguntó,Bad Bunny,85,2022-05-06,reggaeton
LALA,Myke Towers,83,2023-03-23,reggaeton
QUEMA,Ryan Castro,79,2024-05-10,reggaeton
Me Rehúso,Danny Ocean,83,2019-03-22,reggaeton
Permitame (feat. Yandel),Tony Dize,77,2009-11-09,reggaeton
La Bebe - Remix,Yng Lvcas,80,2023-03-17,reggaeton
Ojitos Chiquitos,Don Omar,79,2006-01-01,reggaeton
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,83,2016-10-07,reggaeton
Andrea,Bad Bunny,79,2022-05-06,reggaeton
Por Que Te Demoras?,Plan B,78,2010-07-20,reggaeton
Un Coco,Bad Bunny,80,2022-05-06,reggaeton
Si Estuviésemos Juntos,Bad Bunny,80,2018-12-23,reggaeton
Diles,Bad Bunny,81,2016-08-26,reggaeton
Si Veo a Tu Mamá,Bad Bunny,79,2020-02-29,reggaeton
Desconocidos,Mau y Ricky,80,2019-05-03,reggaeton
A Mí,Rels B,83,2019-02-21,r&b
lo que hay x aquí,Rels B,80,2023-03-09,r&b
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,93,2023-06-23,r&b
Rumores,Joan Sebastian,76,1997-08-28,r&b
Tatuajes,Joan Sebastian,76,1996-02-09,r&b
El Amar y el Querer,José José,76,1977-05-07,r&b
Feel It - From “Invincible”,d4vd,91,2024-03-28,r&b
Más Allá Del Sol,Joan Sebastian,75,2006-04-24,r&b
Prisión De Amor,Los Tigres Del Norte,75,1999-01-01,r&b
Amor Prohibido,Grupo Bryndis,75,1993-01-01,r&b
Vamos a Darnos Tiempo,José José,74,1981-11-05,r&b
Querer Querernos,Canserbero,78,2011-09-16,r&b
cómo dormiste?,Rels B,79,2022-08-04,r&b
Gavilán o Paloma,José José,74,1977-05-07,r&b
Save Your Tears,The Weeknd,87,2020-03-20,r&b
Sentimental,Joan Sebastian,74,2002-12-17,r&b
Blinding Lights,The Weeknd,90,2020-03-20,r&b
Ese Loco Soy Yo,Liberación,74,1993-01-01,r&b
Un Idiota,Joan Sebastian,74,2000-04-05,r&b
Almohada,José José,73,1980-08-25,r&b
Ni Parientes Somos,Los Tigres Del Norte,75,2001-01-01,r&b
Tu Traición,Grupo Bryndis,74,1995-01-01,r&b
Lo Dudo,José José,73,1985-07-15,r&b
Me Gustas,Joan Sebastian,74,2000-04-05,r&b
Preso,José José,72,1981-11-05,r&b
Te Irá Mejor Sin Mí,Joan Sebastian,73,2020-04-10,r&b
Amor Limosnero,Joan Sebastian,73,2006-04-24,r&b
Seremos,El Bebeto,72,2019-02-08,r&b
Un Desperdicio,Rels B,74,2024-04-26,r&b
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza,84,2024-04-18,r&b
La Última Canción,Rels B,76,2020-12-26,r&b
Lo Intentamos,Espinoza Paz,73,2009-06-01,r&b
La Mesa Del Rincón,Los Tigres Del Norte,74,1994-01-01,r&b
Starboy,The Weeknd,90,2016-11-25,r&b
Por Dentro,Rels B,72,2023-11-23,r&b
El Próximo Viernes,Espinoza Paz,73,2008-03-18,r&b
Amor Regresa,Los Askis,71,2001-01-01,r&b
Quiero Perderme Contigo,José José,71,1985-07-15,r&b
Maquiavélico,Canserbero,76,2012-03-22,r&b
Cómo Te Extraño Mi Amor,Leo Dan,74,1964-10-31,r&b
Lo Legal,El Bebeto,69,2012-01-01,r&b
